TE,nORF,Class,Family,r_s,p_s,r_p,p_p
chr1:109426974:109427418:L1ME3E,0wq0H6,LINE,L1,0.824340713,2.15E-101,0.856693359,2.94E-124
chr1:109426974:109427418:L1ME3E,tracer11791,LINE,L1,0.804955672,5.19E-93,0.821905173,6.27E-106
chr1:109426974:109427418:L1ME3E,5sz1H1,LINE,L1,0.789470082,6.36E-87,0.800684579,1.31E-96
chr1:11708439:11708580:L2a,tracer3540,LINE,L2,0.805749465,4.79E-93,0.813858371,2.96E-102
chr1:11708439:11708580:L2a,9cwxH1,LINE,L2,0.762913316,1.89E-77,0.828424387,4.81E-109
chr1:11708439:11708580:L2a,tracer83535,LINE,L2,0.774618602,2.16E-81,0.833466337,1.52E-111
chr1:1364099:1364399:AluY,3wobH2,SINE,Alu,0.843211868,2.53E-112,0.86648873,2.60E-130
chr1:1364400:1364578:AluSq2,3wobH2,SINE,Alu,0.833912443,1.50E-107,0.853728422,1.63E-122
chr1:1364582:1364740:AluSx4,3wobH2,SINE,Alu,0.846718429,3.52E-114,0.860954195,7.80E-127
chr1:1364099:1364399:AluY,avkdH1,SINE,Alu,0.847582617,1.23E-114,0.850599392,1.03E-120
chr1:1364400:1364578:AluSq2,avkdH1,SINE,Alu,0.839944532,1.34E-110,0.834714798,3.54E-112
chr1:1364582:1364740:AluSx4,avkdH1,SINE,Alu,0.864000568,4.79E-124,0.867525377,5.57E-131
chr1:1364099:1364399:AluY,ahqxH1,SINE,Alu,0.800272294,2.39E-92,0.826338668,4.93E-108
chr1:1364099:1364399:AluY,io5aH6,SINE,Alu,0.806158724,8.67E-95,0.820951248,1.75E-105
chr1:1364400:1364578:AluSq2,io5aH6,SINE,Alu,0.802754323,2.30E-93,0.806646085,4.13E-99
chr1:1364099:1364399:AluY,dahrH1,SINE,Alu,0.808488097,8.96E-96,0.830408487,5.10E-110
chr1:1364099:1364399:AluY,0z1rH3,SINE,Alu,0.86039972,6.33E-122,0.874319672,1.66E-135
chr1:1364582:1364740:AluSx4,0z1rH3,SINE,Alu,0.844194013,7.76E-113,0.855986742,7.72E-124
chr1:1364099:1364399:AluY,5sz1H1,SINE,Alu,0.87675093,2.36E-132,0.880196104,1.22E-139
chr1:1364400:1364578:AluSq2,5sz1H1,SINE,Alu,0.870015076,7.89E-128,0.864210816,7.32E-129
chr1:1364582:1364740:AluSx4,5sz1H1,SINE,Alu,0.911536324,1.96E-160,0.911163016,9.54E-166
chr1:1364099:1364399:AluY,0wq0H6,SINE,Alu,0.828086953,1.09E-104,0.829509799,1.41E-109
chr1:1364400:1364578:AluSq2,0wq0H6,SINE,Alu,0.839221454,3.09E-110,0.842734872,2.27E-116
chr1:1364582:1364740:AluSx4,0wq0H6,SINE,Alu,0.889229047,1.88E-141,0.885532744,1.38E-143
chr1:1364099:1364399:AluY,fib2H7,SINE,Alu,0.856146663,1.87E-119,0.859511525,5.94E-126
chr1:1364582:1364740:AluSx4,fib2H7,SINE,Alu,0.857345984,4.13E-120,0.853085522,3.85E-122
chr1:1364099:1364399:AluY,2dheH1,SINE,Alu,0.866614579,1.16E-125,0.874450153,1.35E-135
chr1:1364400:1364578:AluSq2,2dheH1,SINE,Alu,0.818925784,2.20E-100,0.831286835,1.87E-110
chr1:1364582:1364740:AluSx4,2dheH1,SINE,Alu,0.860598091,5.18E-122,0.864354151,5.94E-129
chr1:1364099:1364399:AluY,7efkH1,SINE,Alu,0.835608257,2.13E-108,0.854633089,4.83E-123
chr1:1364400:1364578:AluSq2,7efkH1,SINE,Alu,0.817932849,6.10E-100,0.836306736,5.43E-113
chr1:1364582:1364740:AluSx4,7efkH1,SINE,Alu,0.846541637,4.21E-114,0.862405809,9.88E-128
chr1:1364099:1364399:AluY,8nwmH4,SINE,Alu,0.84920866,1.68E-115,0.866180741,4.10E-130
chr1:1364582:1364740:AluSx4,8nwmH4,SINE,Alu,0.825316647,2.30E-103,0.837340717,1.59E-113
chr1:1364099:1364399:AluY,tracer5270,SINE,Alu,0.808614593,8.12E-96,0.804455853,3.50E-98
chr1:1364582:1364740:AluSx4,tracer5270,SINE,Alu,0.83308419,3.79E-107,0.835959024,8.19E-113
chr1:1364099:1364399:AluY,tracer10022,SINE,Alu,0.890460736,2.50E-142,0.897415541,3.97E-153
chr1:1364400:1364578:AluSq2,tracer10022,SINE,Alu,0.849127067,1.77E-115,0.85819458,3.72E-125
chr1:1364582:1364740:AluSx4,tracer10022,SINE,Alu,0.904583622,4.37E-154,0.913188148,8.88E-168
chr1:1364099:1364399:AluY,tracer11791,SINE,Alu,0.854294913,2.16E-118,0.863539976,1.93E-128
chr1:1364400:1364578:AluSq2,tracer11791,SINE,Alu,0.87972987,2.12E-134,0.884245009,1.29E-142
chr1:1364582:1364740:AluSx4,tracer11791,SINE,Alu,0.898836253,3.85E-149,0.906798453,1.57E-161
chr1:1364099:1364399:AluY,tracer93780,SINE,Alu,0.836018254,1.36E-108,0.84450439,2.51E-117
chr1:1364400:1364578:AluSq2,tracer93780,SINE,Alu,0.861751459,1.10E-122,0.860295576,1.98E-126
chr1:1364582:1364740:AluSx4,tracer93780,SINE,Alu,0.857223778,4.56E-120,0.863087742,3.71E-128
chr1:1364400:1364578:AluSq2,dahrH1,SINE,Alu,0.754123031,1.03E-75,0.800608048,1.41E-96
chr1:1364400:1364578:AluSq2,0z1rH3,SINE,Alu,0.793630913,1.06E-89,0.816523081,1.88E-103
chr1:1364400:1364578:AluSq2,fib2H7,SINE,Alu,0.795211994,2.62E-90,0.801642421,5.25E-97
chr1:1364099:1364399:AluY,gwiwH1,SINE,Alu,0.778749562,4.31E-84,0.811123396,4.78E-101
chr1:12567346:12567462:MIRb,9cwxH1,SINE,MIR,0.740376378,1.79E-71,0.801969127,3.84E-97
chr1:1364400:1364578:AluSq2,8nwmH4,SINE,Alu,0.794975845,3.18E-90,0.826233454,5.54E-108
chr1:1364099:1364399:AluY,tracer69487,SINE,Alu,0.785011385,2.16E-86,0.817880805,4.55E-104
chr1:1364400:1364578:AluSq2,tracer69487,SINE,Alu,0.759466628,1.86E-77,0.801686737,5.04E-97
chr1:1364582:1364740:AluSx4,tracer69487,SINE,Alu,0.781643391,3.86E-85,0.807445912,1.88E-99
chr1:12567346:12567462:MIRb,tracer73010,SINE,MIR,0.716804432,9.07E-65,0.816051072,3.08E-103
chr1:1364400:1364578:AluSq2,tracer74984,SINE,Alu,0.777700796,9.98E-84,0.81925398,1.07E-104
chr1:12567346:12567462:MIRb,tracer64799,SINE,MIR,0.70823655,1.66E-62,0.807276364,2.22E-99
chr1:12567346:12567462:MIRb,tracer83535,SINE,MIR,0.761482793,4.02E-78,0.828780408,3.22E-109
chr1:150281283:150281400:L1MB3,tracer3540,LINE,L1,0.801233323,3.74E-91,0.805405002,1.39E-98
chr1:150281283:150281400:L1MB3,tracer83535,LINE,L1,0.763560373,1.14E-77,0.823291047,1.40E-106
chr1:155942489:155942793:AluJb,ietnH10,SINE,Alu,0.720907643,8.98E-65,0.808028026,1.06E-99
chr1:155942489:155942793:AluJb,tracer112900,SINE,Alu,0.708928151,1.04E-61,0.805729435,1.01E-98
chr1:161158935:161159158:MIRc,3wobH2,SINE,MIR,0.820491546,2.27E-100,0.843349031,1.06E-116
chr1:161155655:161155813:L3,5sz1H1,LINE,CR1,0.800714673,4.37E-92,0.770016531,5.70E-85
chr1:161158022:161158323:AluJr,5sz1H1,SINE,Alu,0.804578766,1.36E-93,0.745866104,5.21E-77
chr1:161158935:161159158:MIRc,5sz1H1,SINE,MIR,0.843071483,3.61E-111,0.800164977,2.14E-96
chr1:161155655:161155813:L3,0wq0H6,LINE,CR1,0.814300253,1.13E-97,0.818397112,2.64E-104
chr1:161159498:161159645:MIRb,0wq0H6,SINE,MIR,0.813184762,3.16E-97,0.82188725,6.39E-106
chr1:161158022:161158323:AluJr,7efkH1,SINE,Alu,0.801154182,3.10E-92,0.800640648,1.36E-96
chr1:161158935:161159158:MIRc,7efkH1,SINE,MIR,0.846082665,1.66E-112,0.854294699,7.62E-123
chr1:161158022:161158323:AluJr,tracer10022,SINE,Alu,0.803211815,4.68E-93,0.763340766,1.13E-82
chr1:161158935:161159158:MIRc,tracer10022,SINE,MIR,0.808245747,4.10E-95,0.78914201,5.30E-92
chr1:161155655:161155813:L3,tracer11791,LINE,CR1,0.820359158,2.27E-100,0.808156028,9.30E-100
chr1:161158935:161159158:MIRc,tracer11791,SINE,MIR,0.835701901,1.78E-107,0.820576912,2.61E-105
chr1:161159498:161159645:MIRb,tracer11791,SINE,MIR,0.830830856,3.80E-105,0.840992812,1.94E-115
chr1:161159498:161159645:MIRb,tracer93780,SINE,MIR,0.821065816,1.49E-100,0.823342868,1.32E-106
chr1:161158935:161159158:MIRc,ahqxH1,SINE,MIR,0.796890772,1.31E-90,0.832050427,7.79E-111
chr1:161158935:161159158:MIRc,981yH2,SINE,MIR,0.734711075,1.14E-69,0.810026942,1.44E-100
chr1:160060209:160060305:MIR3,9cwxH1,SINE,MIR,0.766290558,1.68E-79,0.805062861,1.94E-98
chr1:161158935:161159158:MIRc,8nwmH4,SINE,MIR,0.793245047,3.53E-89,0.82611424,6.32E-108
chr1:172359013:172359196:MIRc,bknvH1,SINE,MIR,0.824404081,2.50E-102,0.834789958,3.24E-112
chr1:172369941:172370269:L2c,bknvH1,LINE,L2,0.831480095,1.03E-105,0.836237943,5.89E-113
chr1:172359013:172359196:MIRc,cwydH1,SINE,MIR,0.814522342,6.56E-98,0.859026207,1.17E-125
chr1:172369941:172370269:L2c,cwydH1,LINE,L2,0.817794002,2.40E-99,0.842213129,4.33E-116
chr1:172359013:172359196:MIRc,5sz1H1,SINE,MIR,0.850823186,9.22E-116,0.862448533,9.29E-128
chr1:172369941:172370269:L2c,5sz1H1,LINE,L2,0.864423094,1.30E-123,0.861603209,3.11E-127
chr1:172065221:172065423:L2a,0wq0H6,LINE,L2,0.806638205,1.43E-94,0.826645809,3.51E-108
chr1:172130705:172131086:L3b,0wq0H6,LINE,CR1,0.810975243,2.23E-96,0.837244875,1.78E-113
chr1:172359013:172359196:MIRc,0wq0H6,SINE,MIR,0.854011151,1.79E-117,0.88649394,2.56E-144
chr1:172369941:172370269:L2c,0wq0H6,LINE,L2,0.903719082,5.40E-153,0.915312732,5.79E-170
chr1:172375578:172375618:AluYk11,0wq0H6,SINE,Alu,0.840551043,2.67E-110,0.865032289,2.21E-129
chr1:172359013:172359196:MIRc,tracer10022,SINE,MIR,0.808310565,2.96E-95,0.84015278,5.39E-115
chr1:172369941:172370269:L2c,tracer10022,LINE,L2,0.820494439,1.53E-100,0.831930593,8.94E-111
chr1:172369941:172370269:L2c,tracer11791,LINE,L2,0.847035792,9.87E-114,0.851026232,5.86E-121
chr1:172375578:172375618:AluYk11,bknvH1,SINE,Alu,0.799056634,1.96E-91,0.813260664,5.46E-102
chr1:172063590:172063814:MIRb,0wq0H6,SINE,MIR,0.771016477,5.33E-81,0.808526017,6.44E-100
chr1:172139513:172139729:MIR,0wq0H6,SINE,MIR,0.768847033,2.81E-80,0.806645928,4.13E-99
chr1:172359013:172359196:MIRc,9gumH7,SINE,MIR,0.758239802,9.14E-77,0.805938819,8.26E-99
chr1:172359013:172359196:MIRc,7efkH1,SINE,MIR,0.761285655,9.53E-78,0.808832984,4.75E-100
chr1:172359013:172359196:MIRc,tracer76249,SINE,MIR,0.750796028,2.14E-74,0.802603944,2.09E-97
chr1:172369941:172370269:L2c,tracer76249,LINE,L2,0.774433486,3.74E-82,0.809621061,2.16E-100
chr1:172359013:172359196:MIRc,tracer11791,SINE,MIR,0.785249108,4.64E-86,0.810135953,1.29E-100
chr1:17416683:17416858:MIRb,5sz1H1,SINE,MIR,0.804102846,2.38E-92,0.79560947,1.51E-94
chr1:17409896:17410138:L1MC4a,ahqxH1,LINE,L1,0.767849629,2.60E-79,0.817960922,4.18E-104
chr1:17416683:17416858:MIRb,ahqxH1,SINE,MIR,0.783877464,1.30E-84,0.812862661,8.20E-102
chr1:17409896:17410138:L1MC4a,7efkH1,LINE,L1,0.759945609,6.79E-77,0.805660185,1.08E-98
chr1:17411293:17411560:MIR,7efkH1,SINE,MIR,0.754853312,2.70E-75,0.800687174,1.30E-96
chr1:17416683:17416858:MIRb,7efkH1,SINE,MIR,0.77130178,2.43E-80,0.81309125,6.49E-102
chr1:17410853:17411072:MIRb,8nwmH4,SINE,MIR,0.727567902,2.24E-67,0.808252619,8.45E-100
chr1:17411293:17411560:MIR,8nwmH4,SINE,MIR,0.732587063,9.74E-69,0.817628629,5.92E-104
chr1:17411293:17411560:MIR,tracer112900,SINE,MIR,0.716725356,1.66E-64,0.811371665,3.72E-101
chr1:17411293:17411560:MIR,tracer69487,SINE,MIR,0.716527706,1.80E-64,0.800617719,1.39E-96
chr1:17416683:17416858:MIRb,tracer10022,SINE,MIR,0.782318547,3.32E-84,0.808478607,6.75E-100
chr1:184064559:184065022:MLT1B,tracer108565,LTR,ERVL-MaLR,0.821255401,3.04E-100,0.840431633,3.84E-115
chr1:184064559:184065022:MLT1B,tracer3540,LTR,ERVL-MaLR,0.851683257,1.19E-115,0.881298406,1.93E-140
chr1:183990011:183990275:MLT1F,0wq0H6,LTR,ERVL-MaLR,0.762032437,3.00E-77,0.810317627,1.08E-100
chr1:184004350:184004514:MIR3,0wq0H6,SINE,MIR,0.766409656,1.22E-78,0.800534092,1.51E-96
chr1:184064559:184065022:MLT1B,tracer13540,LTR,ERVL-MaLR,0.761235253,4.62E-77,0.820747523,2.17E-105
chr1:184064559:184065022:MLT1B,tracer83810,LTR,ERVL-MaLR,0.775731916,8.58E-82,0.817667649,5.69E-104
chr1:184064559:184065022:MLT1B,tracer83535,LTR,ERVL-MaLR,0.755585759,2.26E-75,0.8194957,8.25E-105
chr1:199000070:199001644:THE1A-int,tracer10022,LTR,ERVL-MaLR,0.820635194,1.18E-99,0.803863851,6.22E-98
chr1:199031924:199032743:L2a,0wq0H6,LINE,L2,0.794795993,7.70E-89,0.81883324,1.67E-104
