norf_id	tsc_id	tsc_chrom	tsc_start	tsc_end	Transcript.type
8g6nH1	ENST00000230495	chr4	140619297	140619708	processed_pseudogene
kav2H7	ENST00000243325	chrX	13707304	13727473	processed_transcript
5l08H1	ENST00000255320	chr3	22423309	22423951	transcribed_processed_pseudogene
d3kaH2	ENST00000265450	chr10	82275222	82279391	processed_transcript
biunH1	ENST00000275590	chr7	75021228	75024708	processed_transcript
ceujH4	ENST00000305709	chr9	66553272	66555928	lincRNA
id5iH10	ENST00000317114	chr18	3594111	3598350	antisense
id5iH5	ENST00000317114	chr18	3594111	3598350	antisense
id5iH9	ENST00000317114	chr18	3594111	3598350	antisense
dmrnH1	ENST00000319941	chr11	780116	780755	pseudogene
j1egH1	ENST00000325000	chr19	12754088	12754733	processed_pseudogene
8tz0H1	ENST00000327891	chr5	72804509	72805079	processed_pseudogene
8npeH1	ENST00000328346	chr5	21459588	21497305	transcribed_unprocessed_pseudogene
ghwpH3	ENST00000331497	chr15	90808890	90816463	processed_transcript
23arH1	ENST00000331747	chr1	65450290	65451770	processed_pseudogene
d5lxH1	ENST00000335274	chr10	93976088	93976550	processed_pseudogene
drrlH7	ENST00000338850	chr11	63449010	63481638	processed_transcript
7socH1	ENST00000342688	chr4	151642132	151642630	processed_pseudogene
8yt3H1	ENST00000359659	chr5	116051928	116052387	processed_pseudogene
krmsH3	ENST00000360656	chrX	153656536	153656795	pseudogene
etvqH8	ENST00000361485	chr12	122352123	122354549	retained_intron
crd8H1	ENST00000366109	chr9	100000045	100000960	lincRNA
3doiH2	ENST00000366187	chr2	39680979	39681867	antisense
0wneH5	ENST00000368298	chr1	156104903	156107058	retained_intron
ak8yH3	ENST00000379278	chr6	13469506	13486415	processed_transcript
jzvvH1	ENST00000380711	chr22	51021454	51022306	antisense
duifH1	ENST00000381783	chr11	73588018	73591748	retained_intron
ccuqH1	ENST00000391389	chr9	8713310	8713841	processed_pseudogene
hw1kH1	ENST00000392730	chr17	17286690	17287326	processed_pseudogene
fhuyH1	ENST00000393073	chr13	82264202	82264535	transcribed_processed_pseudogene
hjblH1	ENST00000393464	chr17	26794813	26795460	processed_pseudogene
jfarH5	ENST00000394552	chr20	30135306	30135852	processed_pseudogene
hjfgH3	ENST00000394925	chr17	27071072	27074731	retained_intron
3fnrH1	ENST00000395315	chr2	54756479	54756938	processed_pseudogene
8ww0H4	ENST00000395784	chr5	96271097	96273470	processed_transcript
b0u5H1	ENST00000395959	chr7	39873169	39874317	processed_pseudogene
5leaH1	ENST00000396646	chr3	25796415	25797161	processed_pseudogene
hlxwH3	ENST00000396722	chr17	41158824	41164629	retained_intron
4zebH1	ENST00000397084	chr2	172373748	172374232	processed_pseudogene
4v16H1	ENST00000397540	chr2	130680435	130681382	retained_intron
cmidH1	ENST00000397592	chr9	6748702	6748981	processed_pseudogene
bknvH1	ENST00000397636	chr7	99737251	99738305	processed_pseudogene
78hsH1	ENST00000397758	chr3	175436018	175436458	processed_pseudogene
i3ezH8	ENST00000398275	chr17	44270941	44274087	antisense
i3ezH2	ENST00000398275	chr17	44270941	44274087	antisense
e9l6H8	ENST00000398808	chr11	61038636	61040791	retained_intron
gepuH1	ENST00000398981	chr15	60060542	60061347	processed_pseudogene
3wobH2	ENST00000399515	chr2	190788061	190788942	processed_pseudogene
kmxxH1	ENST00000399586	chrX	74960665	74966746	processed_pseudogene
dgugH1	ENST00000402234	chr10	81342053	81344633	unprocessed_pseudogene
aubkH1	ENST00000402237	chr6	114405331	114405956	processed_pseudogene
jgwzH1	ENST00000403264	chr20	41859399	41859897	processed_pseudogene
ajg1H1	ENST00000404155	chr6	3177277	3179998	unprocessed_pseudogene
50fcH1	ENST00000405359	chr2	177065635	177065980	processed_pseudogene
a5iqH1	ENST00000405676	chr6	25140230	25141631	processed_pseudogene
avkdH1	ENST00000405771	chr6	134618134	134619833	processed_pseudogene
ax0fH1	ENST00000405916	chr6	157720076	157721158	processed_pseudogene
9bqxH1	ENST00000406049	chr5	168043316	168044059	processed_pseudogene
a5gaH1	ENST00000406052	chr6	24598239	24600018	processed_pseudogene
ahqxH1	ENST00000406202	chr6	157297427	157298206	processed_pseudogene
